z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,normal
-3602.541746,0.054644,0.020167,0.012695,-0.0157,-0.013461,-0.010836,0.028546,-0.002268,0.018965,T
6550.076362,-0.038487,0.019104,0.002128,0.04304,0.012697,0.00544,0.013803,-0.044027,0.0118,F
-3602.541744,-0.03609,-0.020925,-0.002536,-0.000273,-0.00958,0.017792,0.008047,-0.006193,0.012845,T
6550.076358,0.038807,0.021393,0.020334,-0.029935,-0.019285,-0.025324,0.018921,-0.034514,-0.012768,F
-3602.541746,-0.092673,-0.012076,-0.002171,-0.016245,0.035694,-0.028904,-0.052075,-0.033637,0.040884,T
6550.076365,-0.019134,0.044987,-0.000744,-0.005719,-0.012127,-0.016675,-0.00526,0.043579,0.011305,F
-3602.541747,0.006363,0.013176,-0.017762,-0.012882,-0.006805,-0.036711,0.000647,0.009095,0.007747,T
6550.076366,0.00058,0.009959,0.003959,-0.010904,-0.021467,0.024804,-0.012428,0.005315,-0.003486,F
-3602.541747,0.017746,-0.020309,0.025702,0.005052,0.027671,0.004029,-0.007568,-0.008989,0.022574,T
6550.076362,0.023309,0.014252,-0.000823,0.009671,0.008986,0.01661,-0.020845,0.031069,-0.006583,F
-3602.541749,0.008728,-0.013756,-0.00202,-0.023637,0.028662,0.021935,0.000266,0.008031,0.012163,T
6550.076362,-0.003213,0.015107,-0.027636,-0.04787,0.051746,-0.015062,-0.00336,-0.009516,0.007746,F
-3602.541745,-0.006787,-0.008874,0.016329,-0.019815,0.031614,-0.031169,0.023965,0.018366,-0.005936,T
6550.076364,0.019089,0.014028,0.01645,0.015653,0.032068,0.010295,-0.009491,-0.0142,0.020263,F
-3602.541743,-0.022272,0.015023,0.008932,-0.015732,-0.008895,0.022999,0.007282,-0.009756,0.007646,T
6550.076362,-0.004403,-0.033702,-0.011268,0.002856,-0.013949,-0.054285,-0.018037,0.04987,-0.01055,F
-3602.541749,-0.005517,0.021668,0.013409,0.076644,0.010002,-0.043578,-0.009622,-0.028425,-0.006281,T
6550.076368,0.032052,-0.040256,0.008162,-0.005341,0.030862,0.050458,-0.019313,-0.022334,-0.026074,F
-3602.54175,-0.084145,0.046332,0.019905,-0.001646,-0.054564,0.000297,-0.03309,0.034681,-0.002462,T
6550.076367,0.039391,-0.014576,0.007777,-0.002039,-0.016656,-0.020604,0.023595,-0.002743,0.005424,F
-3602.541745,-0.012156,0.030571,-0.024918,-0.00467,-0.034002,0.01435,-0.001774,-0.006471,0.013614,T
6550.076362,0.010018,0.000768,-0.023889,0.024878,-0.047777,-0.044293,0.016908,0.007109,0.004937,F
-3602.541744,0.025734,0.006793,-0.005514,-0.030374,-0.014781,-0.003601,0.000055,-0.044332,-0.009251,T
6550.076361,-0.012665,0.036791,-0.028733,-0.003859,-0.018979,0.02298,-0.010397,-0.017292,-0.006117,F
-3602.541746,0.013213,0.051409,-0.018867,-0.008012,-0.018659,0.041793,-0.040656,0.000737,-0.028333,T
-3602.541751,-0.034019,-0.010813,-0.022958,0.031166,0.027854,0.034076,-0.03106,0.012729,-0.018724,T
-3602.541749,-0.085252,0.006787,0.0116,0.00187,0.011077,-0.027349,0.013815,0.017432,-0.025429,T
-3602.541753,0.055785,-0.051078,-0.027697,0.003613,0.022576,0.001338,0.005537,0.007133,-0.051703,T
-3602.541755,-0.02031,-0.017513,0.030164,0.00754,0.000565,0.002438,0.023538,0.036925,0.005313,T
-3602.541751,0.032474,-0.023377,-0.012173,-0.003885,0.019595,0.027152,0.021388,-0.000519,0.031387,T
-3602.541749,0.038674,-0.024224,-0.000414,0.010399,-0.0112,0.016381,-0.037252,0.026475,-0.00974,T
-3602.541748,0.020122,0.010358,0.06258,-0.018067,-0.010186,0.011296,0.056261,0.008905,-0.024376,T
-3602.541752,0.035123,-0.043595,-0.008445,0.016845,-0.035754,0.001616,0.014569,0.012766,-0.048716,T
-3602.541749,-0.008901,0.014366,0.012311,0.003507,-0.040778,-0.003151,-0.023549,0.014193,0.005436,T
-3602.541747,0.011665,0.000851,-0.014277,-0.026201,0.030358,0.035823,-0.04203,-0.037702,0.002742,T
-3602.541754,-0.011527,0.038781,-0.049952,0.005458,0.028185,-0.017933,0.022691,-0.012271,0.062352,T
-3602.541747,-0.006063,-0.045601,-0.057929,0.007059,0.004921,0.000494,0.009377,0.024313,-0.037479,T
-3602.541748,-0.018349,-0.008444,0.01571,0.017735,-0.02617,-0.040225,-0.002785,-0.005139,-0.010373,T
6550.076361,0.003585,0.033035,0.029401,0.036913,-0.007243,0.04056,0.015588,0.002142,-0.028527,F
-3602.541748,-0.0226,-0.00796,-0.020306,0.008217,0.032026,-0.021032,-0.005575,0.019322,0.005876,T
-3602.541746,0.027361,0.015515,-0.004668,0.014842,0.000656,0.016691,0.009457,-0.045279,-0.021198,T
6550.076359,-0.00362,-0.01193,-0.039093,0.033544,0.029578,-0.003498,0.03072,0.02043,0.001664,F
6550.076362,0.012752,-0.035765,-0.007869,-0.024315,-0.00529,0.049541,0.006948,-0.006039,-0.004672,F
-3602.541749,0.00128,-0.016375,0.00004,0.014744,0.010891,0.00568,0.001722,-0.015481,-0.014778,T
-3602.541731,-0.0011,0.019025,0.024915,-0.031557,0.003388,0.041841,-0.008068,-0.009611,0.006064,T
-3602.541755,-0.004165,-0.028814,-0.01741,-0.007616,0.010185,-0.012958,-0.00156,0.009921,0.015699,T
-3602.541751,0.007906,0.014804,-0.010134,0.016233,-0.010627,-0.018999,0.009882,-0.044055,-0.029112,T
6550.076365,-0.03489,-0.004833,0.004191,-0.020644,-0.018192,-0.023511,-0.023253,0.005777,-0.000293,F
-3602.541734,0.030903,0.026507,0.000085,-0.00847,-0.009574,-0.050942,-0.013996,-0.002822,0.0522,T
6550.076361,-0.011971,-0.008106,0.019754,-0.033061,-0.004174,-0.020981,-0.011006,0.044093,0.000975,F
6550.076357,0.003771,-0.033385,-0.021825,-0.009915,0.005971,-0.035793,0.014141,-0.013503,0.008438,F
-3602.541743,0.03705,-0.01112,0.019794,-0.017952,0.010929,0.013421,0.01636,-0.014459,0.01156,T
-3602.541744,0.025646,0.021549,-0.020048,0.000142,-0.021406,-0.034004,0.009434,-0.009226,0.028578,T
6550.076361,-0.013618,-0.015125,0.024813,0.020273,0.006657,-0.04323,0.019174,0.0023,-0.002198,F
6550.076355,-0.039822,0.002885,-0.000319,0.050203,-0.026187,0.065619,-0.001711,-0.021692,-0.026836,F
-3602.541737,-0.008168,0.009341,-0.010463,-0.029117,0.002008,0.000024,0.013339,0.017537,0.024493,T
-3602.541745,0.063692,-0.005694,-0.00793,0.007045,-0.034854,0.062758,-0.028692,0.028919,-0.007398,T
-3602.541753,-0.02278,-0.038674,-0.00476,-0.00713,0.019452,-0.015231,-0.012425,0.00647,0.017321,T
-3602.541749,-0.003603,0.03111,0.017662,0.059298,-0.007287,-0.016905,0.03544,0.010989,-0.024668,T
6550.076367,0.023861,0.010552,0.018065,-0.038486,0.019175,0.012728,-0.011595,-0.005926,0.043824,F
-3602.541747,0.00216,-0.003686,0.069167,-0.011594,-0.00794,0.016264,0.023127,0.02281,-0.028647,T
6550.076358,-0.020008,-0.024512,0.005869,-0.006683,0.009071,0.002549,-0.011471,-0.013787,0.012198,F
