class,Attr6855,Attr6041,Attr2354,Attr2121,Attr1779,Attr4847,Attr1834,Attr1882,Attr3252,Attr3847,Attr1144,Attr2642,Attr1745,Attr5593,Attr2441,Attr4328,Attr1829,Attr758,Attr4377,Attr804
1,0,0,1,-1,-1,-1,0,-1,-1,0,0,1,-1,1,0,0,-1,0,0,1
1,0,-1,0,0,-1,-1,-1,0,-1,-1,1,-1,0,-1,0,0,0,-1,0,0
1,-1,-1,1,0,-1,-1,0,-1,-1,1,1,-1,-1,0,1,1,-1,-1,-1,1
1,1,0,1,-1,-1,0,0,-1,-1,0,0,1,0,-1,1,0,0,1,-1,0
1,0,0,0,-1,0,0,0,-1,-1,-1,0,1,0,0,1,1,0,0,1,0
1,0,-1,0,0,-1,-1,-1,0,-1,0,1,-1,-1,1,1,0,-1,-1,-1,0
1,0,-1,0,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,0,1,0,0,-1,0
1,1,-1,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,1,0,-1,0,-1,1
1,0,-1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0,1,1,0,-1,-1,1
1,-1,-1,0,0,0,-1,-1,0,-1,0,1,-1,-1,0,0,1,-1,-1,-1,1
1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,1,1,-1,-1,-1,1
1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0,0,0,-1
1,1,0,1,-1,-1,0,-1,-1,-1,-1,0,1,-1,1,1,1,-1,1,0,1
1,0,-1,0,0,-1,-1,-1,0,1,-1,0,-1,0,0,1,-1,0,-1,0,0
1,1,-1,1,0,0,0,-1,-1,-1,-1,0,1,0,1,1,1,0,1,0,0
1,1,-1,0,0,0,0,-1,-1,-1,-1,1,0,-1,1,0,1,-1,1,-1,0
1,0,1,0,0,0,0,-1,-1,1,-1,-1,-1,-1,1,0,0,0,-1,-1,0
1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0
1,0,-1,0,-1,0,0,-1,-1,-1,0,1,0,-1,1,0,1,-1,-1,-1,0
1,1,-1,1,0,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,0,0,0,1
1,1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,1,1,0,1,0,-1
1,-1,-1,0,-1,-1,-1,0,-1,-1,0,0,1,-1,1,1,-1,-1,1,0,1
1,0,-1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,1,1,0,-1,-1,-1,0
1,1,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,0,0,1,0,0,1,0,1
1,-1,-1,-1,-1,-1,0,0,-1,-1,0,-1,1,-1,0,1,0,-1,1,-1,0
1,1,0,1,-1,0,-1,-1,-1,-1,-1,1,1,-1,1,-1,0,-1,1,0,0
1,0,-1,0,0,-1,-1,-1,-1,0,-1,-1,0,0,1,0,-1,-1,1,-1,0
-1,-1,0,-1,0,0,0,0,0,-1,1,-1,-1,0,0,-1,-1,0,-1,0,0
-1,-1,1,-1,0,0,1,0,1,1,1,-1,-1,1,-1,0,-1,0,-1,1,-1
-1,-1,1,-1,1,0,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1
-1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,0,-1,-1,-1,1,-1,1,-1
-1,-1,1,-1,1,-1,1,1,1,-1,1,0,-1,1,-1,0,-1,1,-1,0,0
-1,-1,1,-1,0,1,1,0,0,1,1,-1,-1,1,-1,-1,-1,0,-1,1,0
-1,-1,0,-1,1,1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1
-1,-1,0,-1,0,1,0,1,0,1,0,-1,-1,0,-1,0,-1,1,-1,0,-1
-1,-1,1,-1,1,0,1,1,1,1,0,-1,-1,1,-1,-1,-1,1,-1,1,-1
-1,-1,1,-1,1,0,1,0,1,0,1,-1,-1,1,-1,-1,-1,1,-1,1,-1
-1,-1,0,-1,0,0,0,0,0,0,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1
1,1,-1,0,-1,0,-1,0,-1,-1,-1,0,1,-1,1,-1,1,-1,0,0,1
1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,1,0,0,0,1,0,-1,0,0,-1
1,1,0,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,0
1,1,0,1,-1,0,-1,-1,-1,-1,0,-1,1,-1,0,0,0,-1,0,0,0
1,1,-1,0,-1,0,-1,-1,-1,0,0,1,0,-1,-1,1,0,0,1,0,0
1,1,-1,1,-1,-1,-1,0,0,-1,-1,1,1,-1,1,0,1,0,1,-1,1
1,0,0,1,-1,-1,-1,0,-1,-1,-1,0,0,-1,0,1,0,0,1,0,0
1,0,-1,1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,1,-1,0
1,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,-1,0
1,1,0,1,-1,-1,0,-1,-1,-1,0,0,1,-1,0,1,1,-1,1,0,1
1,1,-1,0,0,0,-1,0,0,-1,-1,1,1,0,1,-1,1,-1,1,0,0
-1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,1,0,-1,-1,1,-1,1,-1
-1,-1,0,-1,0,1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1
-1,-1,1,-1,1,0,0,1,1,0,0,-1,-1,1,-1,-1,-1,1,-1,1,-1
-1,-1,1,-1,1,1,1,1,1,1,0,-1,-1,1,0,-1,-1,0,-1,1,0
-1,-1,1,-1,1,1,1,0,1,0,0,-1,-1,0,-1,-1,-1,0,-1,1,-1
1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,0,0
1,0,-1,0,0,0,-1,0,0,0,-1,1,1,-1,1,0,-1,-1,1,-1,0
-1,-1,1,-1,1,1,1,1,0,1,0,-1,-1,0,-1,0,-1,1,-1,0,-1
-1,-1,0,-1,0,1,1,1,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1
1,0,-1,1,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,1,-1,1,-1,0
-1,-1,1,-1,0,1,0,0,0,1,0,0,-1,0,-1,-1,-1,0,-1,1,-1
-1,-1,0,-1,0,1,1,0,-1,1,0,-1,-1,0,0,-1,-1,1,-1,0,0
-1,-1,1,-1,1,0,1,1,1,1,1,-1,0,1,-1,-1,-1,1,-1,0,-1
-1,-1,1,-1,1,0,1,1,1,1,0,-1,-1,1,-1,-1,-1,1,-1,0,-1
-1,-1,0,-1,1,0,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,-1,0,-1
-1,-1,0,-1,0,1,1,0,1,1,0,-1,-1,0,-1,-1,-1,0,-1,1,-1
-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1
1,0,0,0,0,-1,1,0,0,-1,-1,0,-1,1,0,-1,-1,0,-1,0,1
1,1,0,1,-1,-1,0,-1,-1,-1,0,1,1,-1,0,1,1,0,1,0,1
1,1,0,1,0,0,-1,-1,-1,-1,0,0,1,-1,0,1,1,-1,1,1,1
1,0,-1,0,-1,0,-1,0,0,-1,-1,0,1,0,0,0,0,0,0,-1,-1
1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,0
1,0,-1,0,-1,0,-1,0,0,-1,-1,1,1,0,1,0,0,-1,0,0,1
